Timestamp,Temperature,Humidity,Pressure,Gas
2023-07-22 19:41:31,27.34,68.686,913.15,10763359.35909447
2023-07-22 19:41:32,27.34,68.673,913.13,10763359.35909447
2023-07-22 19:41:33,27.34,68.666,913.13,10742857.722576518
2023-07-22 19:41:34,27.34,68.646,913.14,10773639.54932639
2023-07-22 19:41:35,27.34,68.673,913.17,10732636.164503718
2023-07-22 19:41:36,27.34,68.646,913.16,10763359.35909447
2023-07-22 19:41:38,27.35,68.646,913.15,10732636.164503718
2023-07-22 19:41:39,27.35,68.64,913.15,10742857.722576518
2023-07-22 19:41:40,27.35,68.633,913.15,10742857.722576518
2023-07-22 19:41:41,27.35,68.633,913.15,10763359.35909447
2023-07-22 19:41:42,27.35,68.633,913.14,10753098.768844496
2023-07-22 19:41:43,27.35,68.604,913.13,10773639.54932639
2023-07-22 19:41:44,27.35,68.598,913.13,10722434.039051391
2023-07-22 19:41:45,27.35,68.584,913.13,10742857.722576518
2023-07-22 19:41:46,27.36,68.583,913.13,10722434.039051391
2023-07-22 19:41:47,27.36,68.596,913.14,10742857.722576518
2023-07-22 19:41:48,27.36,68.59,913.14,10732636.164503718
2023-07-22 19:41:49,27.36,68.596,913.14,10722434.039051391
2023-07-22 19:41:50,27.36,68.603,913.15,10763359.35909447
2023-07-22 19:41:51,27.36,68.59,913.13,10722434.039051391
2023-07-22 19:41:52,27.36,68.596,913.14,10681818.759320628
2023-07-22 19:41:53,27.37,68.582,913.14,10691943.705830874
2023-07-22 19:41:54,27.37,68.569,913.14,10732636.164503718
2023-07-22 19:41:55,27.37,68.562,913.15,10732636.164503718
2023-07-22 19:41:56,27.36,68.59,913.16,10722434.039051391
2023-07-22 19:41:57,27.36,68.576,913.14,10712251.290855944
2023-07-22 19:41:58,27.36,68.576,913.14,10742857.722576518
2023-07-22 19:41:59,27.36,68.583,913.14,10732636.164503718
2023-07-22 19:42:00,27.35,68.571,913.14,10722434.039051391
2023-07-22 19:42:01,27.5,69.274,913.16,10377185.479343066
2023-07-22 19:42:03,27.78,71.924,913.17,10273224.60689734
2023-07-22 19:42:04,27.78,74.638,913.19,10425139.200563164
2023-07-22 19:42:05,27.64,76.366,913.19,10473538.1745463
2023-07-22 19:42:06,27.56,77.002,913.2,10542056.64726858
2023-07-22 19:42:07,27.73,77.546,913.22,10153015.860670386
2023-07-22 19:42:08,28.09,79.343,913.25,10017762.544029482
2023-07-22 19:42:09,28.16,80.984,913.26,10143885.450922808
2023-07-22 19:42:10,28.12,82.239,913.29,10062444.802355744
2023-07-22 19:42:11,28.14,83.365,913.29,10089445.995317353
2023-07-22 19:42:12,28.1,84.071,913.31,10107527.439351795
2023-07-22 19:42:13,28.06,84.43,913.3,10053476.491681905
2023-07-22 19:42:14,28.24,85.103,913.31,9886065.405835336
2023-07-22 19:42:15,28.31,85.755,913.31,9982301.438491158
2023-07-22 19:42:16,28.27,86.035,913.3,10026667.221643506
2023-07-22 19:42:17,28.28,86.184,913.31,9894737.392826987
2023-07-22 19:42:18,28.56,86.712,913.31,9766234.31290144
2023-07-22 19:42:19,28.67,87.174,913.32,9929578.016625015
2023-07-22 19:42:20,28.51,87.157,913.33,10044524.153066693
2023-07-22 19:42:21,28.32,86.656,913.3,10044524.153066693
2023-07-22 19:42:22,28.2,85.5,913.3,10035587.74388005
2023-07-22 19:42:23,28.13,83.822,913.3,10116592.486182284
2023-07-22 19:42:24,28.1,81.83,913.31,10189702.457384268
2023-07-22 19:42:25,28.08,79.871,913.31,10254546.017093867
2023-07-22 19:42:27,28.08,78.135,913.31,10273224.60689734
2023-07-22 19:42:28,28.08,76.665,913.31,10282589.442259865
2023-07-22 19:42:29,28.08,75.518,913.3,10320220.143922662
2023-07-22 19:42:30,28.08,74.511,913.31,10310786.670493219
2023-07-22 19:42:31,28.08,73.612,913.31,10329670.89477645
2023-07-22 19:42:32,28.07,72.818,913.27,10367647.62523423
2023-07-22 19:42:33,28.06,72.088,913.28,10358127.287846008
2023-07-22 19:42:34,28.06,71.455,913.29,10348624.418967247
2023-07-22 19:42:35,28.05,70.924,913.27,10405904.626773387
2023-07-22 19:42:36,28.04,70.527,913.28,10396313.931455914
2023-07-22 19:42:37,28.04,70.295,913.29,10434783.177431688
2023-07-22 19:42:38,28.03,70.07,913.27,10386740.898561254
2023-07-22 19:42:39,28.02,69.853,913.28,10415513.033440053
2023-07-22 19:42:40,28.01,69.618,913.29,10434783.177431688
2023-07-22 19:42:41,27.99,69.431,913.28,10425139.200563164
2023-07-22 19:42:42,27.98,69.295,913.3,10463822.46214273
2023-07-22 19:42:43,28.07,69.42,913.27,10180505.975219974
2023-07-22 19:42:44,28.49,71.551,913.29,9817232.924245011
2023-07-22 19:42:45,28.71,74.644,913.29,9800174.309675872
2023-07-22 19:42:46,28.82,77.578,913.31,9774697.254037635
2023-07-22 19:42:47,28.87,79.997,913.31,9632793.027607907
2023-07-22 19:42:48,28.97,82.147,913.31,9749352.317965398
2023-07-22 19:42:49,28.83,83.459,913.32,9791667.214129612
2023-07-22 19:42:50,28.68,84.363,913.32,9877408.60621185
2023-07-22 19:42:52,28.53,84.818,913.34,9947090.499488939
2023-07-22 19:42:53,28.4,84.964,913.35,9991143.157896224
2023-07-22 19:42:54,28.28,84.562,913.34,10035587.74388005
2023-07-22 19:42:55,28.2,83.513,913.34,10071429.12787051
2023-07-22 19:42:56,28.15,81.905,913.34,10226655.140029095
2023-07-22 19:42:57,28.12,79.991,913.34,10301370.427152714
2023-07-22 19:42:58,28.1,78.235,913.34,10329670.89477645095
2023-07-22 19:42:57,28.11,79.622,913.33,10273224.60689734
2023-07-22 19:42:58,28.09,77.951,913.32,10291971.366738489
